slug|name|landmarks|venue_types|vibe|local_notes
bangalore|Bangalore|MG Road, Cubbon Park, UB City|apartments, banquet halls, rooftops, villas|city-wide|Capital city with diverse venues and high demand
koramangala|Koramangala|Forum Mall, NGV Club, Koramangala Club|rooftops, apartments, lounges, cafes|cafés & rooftops|Student and young professional hub
whitefield|Whitefield|VR Bengaluru, Phoenix Marketcity, ITPL|villas, clubhouses, apartments, tech parks|villas & tech parks|Premium residential area with tech professionals
indiranagar|Indiranagar|100 Feet Road, Toit area, CMH Road|lounges, rooftops, apartments, restaurants|trendy restaurants|Hipster area with upscale dining scene
jayanagar|Jayanagar|4th Block, JP Nagar junction, Banashankari|apartments, community halls, temples|residential hubs|Traditional family-oriented neighborhood
hsr-layout|HSR Layout|27th Main, Agara Lake, HSR Lake|apartments, villas, clubhouses|new-age homes|Modern planned layout with young families
rt-nagar|RT Nagar|RT Nagar Main Road, Ganganagar, Hebbal|apartments, community halls, temples|residential sprawl|Established residential area
hebbal|Hebbal|Hebbal Lake, Manyata Flyover, Manyata Tech Park|apartments, clubhouses, lakeside venues|lakeside views|Lakeside area with tech park proximity
electronic-city|Electronic City|Infosys Campus, Wipro Gate, Electronic City Metro|villas, clubhouses, offices, tech parks|tech parks & villas|Major IT hub with corporate venues
btm-layout|BTM Layout|Silk Board, Mico Layout, BTM Lake|apartments, rooftops, community halls|student & family mix|Affordable area popular with students
marathahalli|Marathahalli|Marathahalli Bridge, Innovative Multiplex, Outer Ring Road|apartments, clubhouses, tech parks|IT corridors|IT corridor with growing residential areas
bellandur|Bellandur|Bellandur Lake, Ecospace, Bellandur Tech Park|apartments, clubhouses, offices, tech parks|lake & IT belt|Premium tech area with lake views
sarjapur-road|Sarjapur Road|Wipro SEZ, Decathlon, Sarjapur Junction|villas, clubhouses, tech parks|new townships|Emerging premium residential area
domlur|Domlur|Domlur Bridge, Indiranagar Metro, Old Airport Road|apartments, offices, restaurants|mixed commercial|Central area with good connectivity
ulsoor|Ulsoor|Ulsoor Lake, Halasuru, MG Road Metro|apartments, banquet halls, lakeside venues|lakeside & cantonment|Historic area with lake and heritage
richmond-town|Richmond Town|Richmond Road, Langford Road, St Mark's Road|banquet halls, restaurants, heritage venues|colonial charm|Heritage area with colonial buildings
ashok-nagar|Ashok Nagar|Ashok Nagar Main Road, Richmond Circle, St Joseph's|apartments, community halls, churches|heritage residential|Heritage residential area
banashankari|Banashankari|BSK 2nd Stage, Banashankari Temple, BSK 3rd Stage|community halls, apartments, temples|large residential blocks|Large traditional residential area
basavanagudi|Basavanagudi|Bugle Rock, Gandhi Bazaar, Bull Temple|community halls, apartments, temples|classic Bengaluru|Historic area with traditional markets
jp-nagar|JP Nagar|Mini Forest, Saraki Signal, JP Nagar Metro|apartments, banquet halls, community centers|green neighborhoods|Green residential area with good parks
bannerghatta-road|Bannerghatta Road|Bannerghatta National Park, JP Nagar, IIM Bangalore|apartments, villas, educational institutions|green & educational|Green area with educational institutions
kanakapura-road|Kanakapura Road|Bannerghatta Road, JP Nagar, Kanakapura Junction|apartments, villas, community halls|developing residential|Developing residential corridor
malleshwaram|Malleshwaram|8th Cross, Sankey Tank, Malleshwaram Metro|community halls, apartments, temples|heritage pockets|Traditional area with heritage buildings
rajajinagar|Rajajinagar|Orion Mall, World Trade Center, Rajajinagar Metro|banquet halls, apartments, malls|old & new mix|Mix of old and new developments
vijayanagar|Vijayanagar|Vijayanagar Metro, Rajajinagar, Malleshwaram|apartments, community halls, temples|traditional residential|Traditional residential area
yelahanka|Yelahanka|Allalasandra Lake, Yelahanka New Town, Airport Road|villas, apartments, lakeside venues|airy layouts|Airport area with spacious layouts
sahakarnagar|Sahakarnagar|Hebbal, RT Nagar, Yelahanka|apartments, community halls, temples|quiet residential|Quiet residential neighborhood
mathikere|Mathikere|Yeshwanthpur, Rajajinagar, Mathikere Lake|apartments, community halls, educational institutions|student area|Student area with educational institutions
yeshwanthpur|Yeshwanthpur|Peenya, Rajajinagar, Yeshwanthpur Metro|apartments, community halls, industrial areas|industrial residential|Industrial area with residential pockets
peenya|Peenya|Peenya Industrial Area, Jalahalli, Yeshwanthpur|community halls, offices, industrial venues|industrial belt|Major industrial area
